et%1:06:00:: , correct is target%1:09:00::
correct wsd for target.n.bnc.1447 target%1:10:00::
correct 6 | total 102
incorrect wsd for target.n.Finance.4410 | found target%1:15:00:: , correct is target%1:09:00::
linkup key target.n.Sports.257 not found in gold standard clean dataset
incorrect wsd for target.n.bnc.1450 | found aim%1:09:01:: , correct is target%1:15:00::
incorrect wsd for target.n.Finance.4593 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.261 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1488 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.5032 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.262 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1599 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.5495 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.275 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1678 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.5871 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.281 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1694 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.6000 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.285 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1727 | found target%1:06:00:: , correct is target%1:15:00::
incorrect wsd for target.n.Finance.6049 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.294 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1736 | found target%1:15:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.6212 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.296 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1822 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.6238 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.301 | found not found , correct is target%1:18:00::
incorrect wsd for target.n.bnc.1825 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.6297 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.322 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1834 | found target%1:15:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.6323 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Sports.327 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1847 | found target%1:06:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.6498 | found target%1:15:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Sports.330 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1857 | found target%1:15:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.6644 | found not found , correct is target%1:18:00::
incorrect wsd for target.n.Sports.341 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1914 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.6842 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.344 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1916 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.6849 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.360 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.1953 | found target%2:33:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.6946 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.375 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2026 | found target%1:06:00:: , correct is target%1:10:00::
incorrect wsd for target.n.Finance.7170 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.376 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2084 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.7176 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.386 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2309 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.7428 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.391 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.bnc.2311 | found target%2:33:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.7443 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.394 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2391 | found prey%1:18:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.7737 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.399 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2435 | found target%1:15:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.7816 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.404 | found target%2:33:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.7972 | found target%1:06:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Sports.410 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2491 | found target%2:33:00:: , correct is target%1:18:00::
incorrect wsd for target.n.Finance.8076 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.412 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2681 | found prey%1:18:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.8179 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.421 | found target%1:15:00:: , correct is target%1:09:00::
incorrect wsd for target.n.bnc.2740 | found aim%1:09:01:: , correct is target%1:09:00::
incorrect wsd for target.n.Finance.8187 | found not found , correct is target%1:09:00::
incorrect wsd for target.n.Sports.423 | found not found , correct is target%1:09:00::
correct wsd for target.n.bnc.2741 target%1:15:00::
correct 7 | total 179
incorrect wsd for target.n.Finance.8433 | found target%1:06:00:: , correct is target%1:09:00::
incorrect wsd for target.n.Sports.430 | found target%1:06:00:: , correct is target%1:09:00::
