|target.n.bnc.22|     target%1:10:00::
|target.n.Finance.78|     target%1:10:00::
|target.n.Sports.18|     target%1:10:00::
|target.n.bnc.29|     target%1:10:00::
|target.n.Finance.146|     target%1:10:00::
|target.n.Sports.25|     target%1:10:00::
|target.n.bnc.71|     target%1:10:00::
|target.n.Finance.333|     target%1:10:00::
|target.n.Sports.38|     target%1:10:00::
|target.n.bnc.78|     target%1:10:00::
|target.n.Finance.397|     target%1:10:00::
|target.n.Sports.46|     target%1:10:00::
|target.n.bnc.284|     target%1:10:00::
|target.n.Finance.412|     target%1:10:00::
|target.n.Sports.47|     target%1:10:00::
|target.n.bnc.318|     target%1:10:00::
|target.n.Finance.505|     target%1:10:00::
|target.n.Sports.54|     target%1:10:00::
|target.n.bnc.360|     target%1:10:00::
|target.n.Finance.555|     target%1:10:00::
|target.n.Sports.55|     target%1:10:00::
|target.n.bnc.393|     target%1:10:00::
|target.n.Finance.707|     not found
|target.n.Sports.56|     target%1:10:00::
|target.n.bnc.454|     target%1:10:00::
|target.n.Finance.725|     target%1:10:00::
|target.n.Sports.72|     target%1:10:00::
|target.n.bnc.477|     target%1:10:00::
|target.n.Finance.779|     target%1:10:00::
|target.n.Sports.76|     target%1:10:00::
|target.n.bnc.482|     target%1:10:00::
|target.n.Finance.1004|     target%1:10:00::
|target.n.Sports.77|     target%1:10:00::
|target.n.bnc.534|     target%1:10:00::
|target.n.Finance.1012|     target%1:10:00::
|target.n.Sports.85|     target%1:10:00::
|target.n.bnc.539|     target%1:10:00::
|target.n.Finance.1038|     target%1:10:00::
|target.n.Sports.91|     target%1:10:00::
|target.n.bnc.561|     target%1:10:00::
|target.n.Finance.1197|     target%1:10:00::
|target.n.Sports.101|     target%1:10:00::
|target.n.bnc.597|     target%1:10:00::
|target.n.Finance.1494|     not found
|target.n.Sports.113|     target%1:10:00::
|target.n.bnc.601|     target%1:10:00::
|target.n.Finance.1681|     target%1:10:00::
|target.n.Sports.125|     target%1:10:00::
|target.n.bnc.616|     target%1:10:00::
|target.n.Finance.1698|     target%1:10:00::
|target.n.Sports.135|     target%1:10:00::
|target.n.bnc.626|     target%1:10:00::
|target.n.Finance.1853|     target%1:10:00::
|target.n.Sports.139|     target%1:10:00::
|target.n.bnc.633|     target%1:10:00::
|target.n.Finance.2341|     target%1:10:00::
|target.n.Sports.140|     target%1:10:00::
|target.n.bnc.704|     target%1:10:00::
|target.n.Finance.2427|     target%1:10:00::
|target.n.Sports.142|     target%1:10:00::
|target.n.bnc.793|     target%1:10:00::
|target.n.Finance.2469|     not found
|target.n.Sports.143|     target%1:10:00::
|target.n.bnc.802|     target%1:10:00::
|target.n.Finance.2728|     target%1:10:00::
|target.n.Sports.148|     target%1:10:00::
|target.n.bnc.856|     target%1:10:00::
|target.n.Finance.2948|     not found
|target.n.Sports.151|     target%1:10:00::
|target.n.bnc.895|     target%1:10:00::
|target.n.Finance.3232|     target%1:10:00::
|target.n.Sports.164|     target%1:10:00::
|target.n.bnc.1097|     target%1:10:00::
|target.n.Finance.3326|     not found
|target.n.Sports.166|     target%1:10:00::
|target.n.bnc.1117|     target%1:10:00::
|target.n.Finance.3464|     target%1:10:00::
|target.n.Sports.172|     target%1:10:00::
|target.n.bnc.1128|     target%1:10:00::
|target.n.Finance.3471|     target%1:10:00::
|target.n.Sports.183|     target%1:10:00::
|target.n.bnc.1176|     target%1:10:00::
|target.n.Finance.3530|     target%1:10:00::
|target.n.Sports.184|     target%1:10:00::
|target.n.bnc.1209|     target%1:10:00::
|target.n.Finance.3550|     target%1:10:00::
|target.n.Sports.190|     target%1:10:00::
|target.n.bnc.1247|     target%1:10:00::
|target.n.Finance.3571|     target%1:10:00::
|target.n.Sports.191|     target%1:10:00::
|target.n.bnc.1249|     target%1:10:00::
|target.n.Finance.3826|     target%1:10:00::
|target.n.Sports.204|     target%1:10:00::
|target.n.bnc.1385|     target%1:10:00::
|target.n.Finance.3943|     not found
|target.n.Sports.205|     target%1:10:00::
|target.n.bnc.1443|     target%1:10:00::
|target.n.Finance.3944|     not found
|target.n.Sports.207|     target%1:10:00::
|target.n.bnc.1444|     target%1:10:00::
|target.n.Finance.4092|     not found
|target.n.Sports.217|     target%1:10:00::
|target.n.bnc.1447|     target%1:10:00::
|target.n.Finance.4410|     target%1:10:00::
|target.n.Sports.257|     target%1:10:00::
|target.n.bnc.1450|     target%1:10:00::
|target.n.Finance.4593|     target%1:10:00::
|target.n.Sports.261|     target%1:10:00::
|target.n.bnc.1488|     target%1:10:00::
|target.n.Finance.5032|     target%1:10:00::
|target.n.Sports.262|     target%1:10:00::
|target.n.bnc.1599|     target%1:10:00::
|target.n.Finance.5495|     target%1:10:00::
|target.n.Sports.275|     target%1:10:00::
|target.n.bnc.1678|     target%1:10:00::
|target.n.Finance.5871|     target%1:10:00::
|target.n.Sports.281|     target%1:10:00::
|target.n.bnc.1694|     target%1:10:00::
|target.n.Finance.6000|     target%1:10:00::
|target.n.Sports.285|     target%1:10:00::
|target.n.bnc.1727|     target%1:10:00::
|target.n.Finance.6049|     target%1:10:00::
|target.n.Sports.294|     target%1:10:00::
|target.n.bnc.1736|     target%1:10:00::
|target.n.Finance.6212|     target%1:10:00::
|target.n.Sports.296|     not found
|target.n.bnc.1822|     target%1:10:00::
|target.n.Finance.6238|     target%1:10:00::
|target.n.Sports.301|     not found
|target.n.bnc.1825|     target%1:10:00::
|target.n.Finance.6297|     target%1:10:00::
|target.n.Sports.322|     target%1:10:00::
|target.n.bnc.1834|     target%1:10:00::
|target.n.Finance.6323|     target%1:10:00::
|target.n.Sports.327|     target%1:10:00::
|target.n.bnc.1847|     target%1:10:00::
|target.n.Finance.6498|     target%1:10:00::
|target.n.Sports.330|     target%1:10:00::
|target.n.bnc.1857|     target%1:10:00::
|target.n.Finance.6644|     not found
|target.n.Sports.341|     target%1:10:00::
|target.n.bnc.1914|     target%1:10:00::
|target.n.Finance.6842|     target%1:10:00::
|target.n.Sports.344|     target%1:10:00::
|target.n.bnc.1916|     target%1:10:00::
|target.n.Finance.6849|     not found
|target.n.Sports.360|     target%1:10:00::
|target.n.bnc.1953|     target%1:10:00::
|target.n.Finance.6946|     not found
|target.n.Sports.375|     target%1:10:00::
|target.n.bnc.2026|     target%1:10:00::
|target.n.Finance.7170|     target%1:10:00::
|target.n.Sports.376|     target%1:10:00::
|target.n.bnc.2084|     target%1:10:00::
|target.n.Finance.7176|     not found
|target.n.Sports.386|     target%1:10:00::
|target.n.bnc.2309|     target%1:10:00::
|target.n.Finance.7428|     not found
|target.n.Sports.391|     target%1:10:00::
|target.n.bnc.2311|     target%1:10:00::
|target.n.Finance.7443|     target%1:10:00::
|target.n.Sports.394|     target%1:10:00::
|target.n.bnc.2391|     target%1:10:00::
|target.n.Finance.7737|     target%1:10:00::
|target.n.Sports.399|     target%1:10:00::
|target.n.bnc.2435|     target%1:10:00::
|target.n.Finance.7816|     not found
|target.n.Sports.404|     target%1:10:00::
|target.n.bnc.2467|     target%1:10:00::
|target.n.Finance.7972|     target%1:10:00::
|target.n.Sports.410|     not found
|target.n.bnc.2491|     target%1:10:00::
|target.n.Finance.8076|     target%1:10:00::
|target.n.Sports.412|     target%1:10:00::
|target.n.bnc.2681|     target%1:10:00::
|target.n.Finance.8179|     not found
|target.n.Sports.421|     target%1:10:00::
|target.n.bnc.2740|     target%1:10:00::
|target.n.Finance.8187|     not found
|target.n.Sports.423|     not found
|target.n.bnc.2741|     target%1:10:00::
|target.n.Finance.8433|     target%1:10:00::
|target.n.Sports.430|     target%1:10:00::
|target.n.bnc.2771|     target%1:10:00::
|target.n.Finance.8492|     target%1:10:00::
|target.n.Sports.434|     target%1:10:00::
|target.n.bnc.2905|     target%1:10:00::
|target.n.Finance.8507|     not found
|target.n.Sports.444|     target%1:10:00::
|target.n.bnc.2965|     target%1:10:00::
|target.n.Finance.8573|     target%1:10:00::
|target.n.Sports.449|     target%1:10:00::
|target.n.bnc.3030|     target%1:10:00::
|target.n.Finance.8592|     not found
|target.n.Sports.462|     target%1:10:00::
|target.n.bnc.3044|     target%1:10:00::
